r,c,BC,AC,WC
38100,2,-1,1016666,-1
38200,2,-1,977871,-1
38300,2,-1,998563,-1
38400,2,-1,2133918,-1
38500,2,-1,1006725,-1
38600,2,-1,935775,-1
38700,2,-1,938901,-1
38800,2,-1,910726,-1
38900,2,-1,947010,-1
39000,2,-1,965840,-1
39100,2,-1,936821,-1
39200,2,-1,999860,-1
39300,2,-1,1128288,-1
39400,2,-1,1096803,-1
39500,2,-1,1031814,-1
39600,2,-1,1300829,-1
39700,2,-1,1613438,-1
39800,2,-1,1012664,-1
39900,2,-1,1005422,-1
40000,2,-1,1007025,-1
40100,2,-1,992918,-1
40200,2,-1,969050,-1
40300,2,-1,1006127,-1
40400,2,-1,1003270,-1
40500,2,-1,974836,-1
40600,2,-1,1010462,-1
40700,2,-1,1023840,-1
40800,2,-1,1006035,-1
40900,2,-1,1407573,-1
41000,2,-1,1037807,-1
41100,2,-1,1002419,-1
41200,2,-1,1090303,-1
41300,2,-1,985416,-1
41400,2,-1,990020,-1
41500,2,-1,1064144,-1
41600,2,-1,1252350,-1
41700,2,-1,1193540,-1
41800,2,-1,1298321,-1
41900,2,-1,1261212,-1
42000,2,-1,1199369,-1
42100,2,-1,1204534,-1
42200,2,-1,2339364,-1
42300,2,-1,1252666,-1
42400,2,-1,1257615,-1
42500,2,-1,1506824,-1
42600,2,-1,1253071,-1
42700,2,-1,1266717,-1
42800,2,-1,1321220,-1
42900,2,-1,1224875,-1
43000,2,-1,1350057,-1
43100,2,-1,1255768,-1
43200,2,-1,1235107,-1
43300,2,-1,1199505,-1
43400,2,-1,1184803,-1
43500,2,-1,1788765,-1
43600,2,-1,2154307,-1
43700,2,-1,1742831,-1
43800,2,-1,1526424,-1
43900,2,-1,1428085,-1
44000,2,-1,1532715,-1
44100,2,-1,1595970,-1
44200,2,-1,1398812,-1
44300,2,-1,1552377,-1
44400,2,-1,1406302,-1
44500,2,-1,1550029,-1
44600,2,-1,1243711,-1
44700,2,-1,1368621,-1
44800,2,-1,1930909,-1
44900,2,-1,1450103,-1
45000,2,-1,1426062,-1
45100,2,-1,1915321,-1
45200,2,-1,1792877,-1
45300,2,-1,1738230,-1
45400,2,-1,1540771,-1
45500,2,-1,1498577,-1
45600,2,-1,1538812,-1
45700,2,-1,1604526,-1
45800,2,-1,1681408,-1
45900,2,-1,1575282,-1
46000,2,-1,1637371,-1
46100,2,-1,2433237,-1
46200,2,-1,1713646,-1
46300,2,-1,1474545,-1
46400,2,-1,1740285,-1
46500,2,-1,1456246,-1
46600,2,-1,1733478,-1
46700,2,-1,1694352,-1
46800,2,-1,1670409,-1
46900,2,-1,1855847,-1
47000,2,-1,1737543,-1
47100,2,-1,1727540,-1
47200,2,-1,1583752,-1
47300,2,-1,1678552,-1
47400,2,-1,2187471,-1
47500,2,-1,1636588,-1
47600,2,-1,1778381,-1
47700,2,-1,1572196,-1
47800,2,-1,1675204,-1
47900,2,-1,1711127,-1
48000,2,-1,1775456,-1
48100,2,-1,1675094,-1
48200,2,-1,1793237,-1
48300,2,-1,1845443,-1
48400,2,-1,1728182,-1
48500,2,-1,1768016,-1
48600,2,-1,2335102,-1
48700,2,-1,1533695,-1
48800,2,-1,1556022,-1
48900,2,-1,1620867,-1
49000,2,-1,1699776,-1
49100,2,-1,1651092,-1
49200,2,-1,1876879,-1
49300,2,-1,1623446,-1
49400,2,-1,1661002,-1
49500,2,-1,1748733,-1
49600,2,-1,1813696,-1
49700,2,-1,1757142,-1
49800,2,-1,2235051,-1
49900,2,-1,1731900,-1
50000,2,-1,1674699,-1
50100,2,-1,1647508,-1
50200,2,-1,1830267,-1
50300,2,-1,1918568,-1
50400,2,-1,1760239,-1
50500,2,-1,1839912,-1
50600,2,-1,1662601,-1
50700,2,-1,1608517,-1
50800,2,-1,1876437,-1
50900,2,-1,1857268,-1
51000,2,-1,3561363,-1
51100,2,-1,1870777,-1
51200,2,-1,1808771,-1
51300,2,-1,1754204,-1
51400,2,-1,1700677,-1
51500,2,-1,1829698,-1
51600,2,-1,1853631,-1
51700,2,-1,1747750,-1
51800,2,-1,1890737,-1
51900,2,-1,1717285,-1
52000,2,-1,1745691,-1
52100,2,-1,2629412,-1
52200,2,-1,1713151,-1
52300,2,-1,1624908,-1
52400,2,-1,1611370,-1
52500,2,-1,1710734,-1
52600,2,-1,1758834,-1
52700,2,-1,1705686,-1
52800,2,-1,1750955,-1
52900,2,-1,2010669,-1
53000,2,-1,2156535,-1
53100,2,-1,1852084,-1
53200,2,-1,2578159,-1
53300,2,-1,1964078,-1
53400,2,-1,1870866,-1
53500,2,-1,1766080,-1
53600,2,-1,1767150,-1
53700,2,-1,1912078,-1
53800,2,-1,1743878,-1
53900,2,-1,1751358,-1
54000,2,-1,2385309,-1
54100,2,-1,2007374,-1
54200,2,-1,2140645,-1
54300,2,-1,1652714,-1
54400,2,-1,1596078,-1
54500,2,-1,1353184,-1
54600,2,-1,1355684,-1
54700,2,-1,1414569,-1
54800,2,-1,1808754,-1
54900,2,-1,2000051,-1
55000,2,-1,1794964,-1
55100,2,-1,1900007,-1
55200,2,-1,2429558,-1
55300,2,-1,2272616,-1
55400,2,-1,1933114,-1
55500,2,-1,2281727,-1
55600,2,-1,1811418,-1
55700,2,-1,1766824,-1
55800,2,-1,1863299,-1
55900,2,-1,1952412,-1
56000,2,-1,1875043,-1
56100,2,-1,1655770,-1
56200,2,-1,1814555,-1
56300,2,-1,2322961,-1
56400,2,-1,1720698,-1
56500,2,-1,1753216,-1
56600,2,-1,1821871,-1
56700,2,-1,1893137,-1
56800,2,-1,1899481,-1
56900,2,-1,1952582,-1
57000,2,-1,2002255,-1
57100,2,-1,1872703,-1
57200,2,-1,1814754,-1
57300,2,-1,2702872,-1
57400,2,-1,2145866,-1
57500,2,-1,2256801,-1
57600,2,-1,1792959,-1
57700,2,-1,1598510,-1
57800,2,-1,1653719,-1
57900,2,-1,1876125,-1
58000,2,-1,1725329,-1
58100,2,-1,1615428,-1
58200,2,-1,2066617,-1
58300,2,-1,2498733,-1
58400,2,-1,1723821,-1
58500,2,-1,1864368,-1
58600,2,-1,2026001,-1
58700,2,-1,1964654,-1
58800,2,-1,1922157,-1
58900,2,-1,1977971,-1
59000,2,-1,1976461,-1
59100,2,-1,1903480,-1
59200,2,-1,2045251,-1
59300,2,-1,2661164,-1
59400,2,-1,2225942,-1
59500,2,-1,2275761,-1
59600,2,-1,2058585,-1
59700,2,-1,2063416,-1
59800,2,-1,2316382,-1
59900,2,-1,1980158,-1
60000,2,-1,1862750,-1
60100,2,-1,1903648,-1
60200,2,-1,2502770,-1
60300,2,-1,2027748,-1
60400,2,-1,2056759,-1
60500,2,-1,2143467,-1
60600,2,-1,2218697,-1
60700,2,-1,1991379,-1
60800,2,-1,2211246,-1
60900,2,-1,2101101,-1
61000,2,-1,2318001,-1
61100,2,-1,2152098,-1
61200,2,-1,2706853,-1
61300,2,-1,2054967,-1
61400,2,-1,2024770,-1
61500,2,-1,2072581,-1
61600,2,-1,2190059,-1
61700,2,-1,2164754,-1
61800,2,-1,2100612,-1
61900,2,-1,2123542,-1
62000,2,-1,2092679,-1
62100,2,-1,2667609,-1
62200,2,-1,2282036,-1
62300,2,-1,2461272,-1
62400,2,-1,2437564,-1
62500,2,-1,2060504,-1
62600,2,-1,2625107,-1
62700,2,-1,2200871,-1
62800,2,-1,2289162,-1
62900,2,-1,2370508,-1
63000,2,-1,2254560,-1
63100,2,-1,3020937,-1
63200,2,-1,2082183,-1
63300,2,-1,2069961,-1
63400,2,-1,2379370,-1
63500,2,-1,2203900,-1
63600,2,-1,2151341,-1
63700,2,-1,2220726,-1
63800,2,-1,2147924,-1
63900,2,-1,2208326,-1
64000,2,-1,3076657,-1
64100,2,-1,2265572,-1
64200,2,-1,2117945,-1
64300,2,-1,2379134,-1
64400,2,-1,2471174,-1
64500,2,-1,2514995,-1
64600,2,-1,1994091,-1
64700,2,-1,2009477,-1
64800,2,-1,2037210,-1
64900,2,-1,3030730,-1
65000,2,-1,2197668,-1
65100,2,-1,2104570,-1
65200,2,-1,2250240,-1
65300,2,-1,2578940,-1
65400,2,-1,2434446,-1
65500,2,-1,2702576,-1
65600,2,-1,2402241,-1
65700,2,-1,2054626,-1
65800,2,-1,3118068,-1
65900,2,-1,2446473,-1
